iter	Passed	Remaining
0	133	53095
1	133	26623
2	134	17790
3	135	13371
4	135	10721
5	136	8954
6	137	7691
7	137	6743
8	138	6006
9	138	5417
10	139	4933
11	140	4530
12	140	4193
13	141	3901
14	142	3647
15	142	3424
16	143	3230
17	144	3056
18	144	2901
19	145	2760
20	145	2633
21	146	2517
22	147	2411
23	147	2313
24	148	2223
25	148	2139
26	149	2063
27	149	1991
28	150	1925
29	151	1863
30	151	1805
31	152	1750
32	152	1698
33	153	1650
34	153	1604
35	154	1561
36	154	1520
37	155	1481
38	156	1445
39	156	1411
40	157	1379
41	158	1347
42	158	1317
43	159	1288
44	159	1260
45	160	1234
46	160	1208
47	161	1184
48	162	1161
49	162	1138
50	163	1116
51	163	1096
52	164	1075
53	164	1056
54	165	1038
55	166	1020
56	166	1002
57	167	985
58	167	969
59	168	953
60	168	938
61	169	924
62	170	910
63	170	897
64	171	884
65	172	871
66	172	858
67	173	846
68	174	835
69	174	823
70	175	812
71	175	801
72	176	791
73	177	780
74	177	770
75	178	760
76	179	751
77	179	741
78	180	732
79	180	723
80	181	714
81	181	705
82	182	696
83	183	688
84	183	680
85	184	673
86	184	665
87	185	657
88	186	650
89	186	642
90	187	635
91	187	628
92	188	621
93	188	614
94	189	607
95	189	601
96	190	594
97	191	588
98	191	582
99	192	576
100	192	570
101	193	564
102	193	559
103	194	553
104	195	547
105	195	542
106	196	537
107	196	532
108	197	527
109	198	522
110	198	517
111	199	512
112	199	507
113	200	502
114	200	498
115	201	493
116	202	488
117	202	484
118	203	479
119	203	475
120	204	471
121	204	467
122	205	462
123	206	458
124	206	454
125	207	450
126	207	446
127	208	443
128	209	439
129	209	435
130	210	432
131	211	428
132	211	424
133	212	421
134	212	417
135	213	414
136	214	411
137	214	407
138	215	404
139	215	401
140	216	397
141	217	394
142	217	391
143	218	388
144	218	385
145	219	381
146	220	378
147	220	375
148	221	372
149	222	370
150	222	367
151	223	364
152	223	361
153	224	358
154	224	355
155	225	352
156	225	349
157	226	347
158	227	344
159	227	341
160	228	338
161	228	336
162	229	333
163	229	330
164	230	328
165	231	325
166	231	323
167	232	320
168	232	318
169	233	315
170	234	313
171	234	311
172	235	308
173	235	306
174	236	304
175	237	301
176	237	299
177	238	297
178	238	294
179	239	292
180	240	290
181	240	288
182	241	285
183	241	283
184	242	281
185	242	279
186	243	277
187	244	275
188	244	273
189	245	271
190	245	269
191	246	267
192	247	265
193	247	263
194	248	261
195	248	259
196	249	257
197	250	255
198	250	253
199	251	251
200	251	249
201	252	247
202	252	245
203	253	243
204	254	241
205	254	239
206	255	237
207	255	236
208	256	234
209	256	232
210	257	230
211	258	228
212	258	227
213	259	225
214	259	223
215	260	222
216	261	220
217	261	218
218	262	217
219	263	215
220	263	213
221	264	212
222	265	210
223	265	208
224	266	207
225	266	205
226	267	203
227	268	202
228	268	200
229	269	199
230	270	197
231	270	196
232	271	194
233	271	192
234	272	191
235	273	190
236	274	188
237	274	187
238	275	185
239	276	184
240	276	182
241	277	181
242	278	179
243	278	178
244	279	177
245	280	175
246	281	174
247	281	172
248	282	171
249	283	169
250	283	168
251	284	167
252	285	165
253	285	164
254	286	163
255	287	161
256	288	160
257	288	158
258	289	157
259	290	156
260	291	155
261	291	153
262	292	152
263	293	151
264	294	149
265	294	148
266	295	147
267	296	145
268	297	144
269	297	143
270	298	142
271	299	140
272	300	139
273	301	138
274	301	137
275	302	135
276	303	134
277	303	133
278	304	132
279	305	130
280	305	129
281	306	128
282	307	127
283	308	125
284	308	124
285	309	123
286	310	122
287	310	120
288	311	119
289	312	118
290	313	117
291	313	116
292	314	114
293	315	113
294	316	112
295	316	111
296	317	110
297	318	108
298	318	107
299	319	106
300	320	105
301	320	104
302	321	102
303	322	101
304	323	100
305	323	99
306	324	98
307	325	97
308	326	96
309	326	94
310	327	93
311	328	92
312	328	91
313	329	90
314	330	89
315	330	87
316	331	86
317	331	85
318	332	84
319	333	83
320	333	82
321	334	81
322	335	79
323	335	78
324	336	77
325	337	76
326	338	75
327	338	74
328	339	73
329	340	72
330	340	71
331	341	70
332	342	68
333	343	67
334	343	66
335	344	65
336	345	64
337	345	63
338	346	62
339	347	61
340	347	60
341	348	59
342	348	57
343	349	56
344	350	55
345	351	54
346	351	53
347	352	52
348	353	51
349	353	50
350	354	49
351	355	48
352	356	47
353	356	46
354	357	45
355	357	44
356	358	43
357	359	42
358	359	41
359	360	40
360	361	39
361	361	37
362	362	36
363	363	35
364	363	34
365	364	33
366	365	32
367	365	31
368	366	30
369	367	29
370	367	28
371	368	27
372	369	26
373	370	25
374	370	24
375	371	23
376	372	22
377	373	21
378	374	20
379	374	19
380	375	18
381	376	17
382	377	16
383	377	15
384	378	14
385	379	13
386	380	12
387	381	11
388	381	10
389	382	9
390	383	8
391	383	7
392	384	6
393	385	5
394	385	4
395	386	3
396	387	2
397	387	1
398	388	0
399	389	0
